epoch,E50_val_loss,E50_val_loss_min,E50_val_loss_max,E100_val_loss,E100_val_loss_min,E100_val_loss_max,E150_val_loss,E150_val_loss_min,E150_val_loss_max,E200_val_loss,E200_val_loss_min,E200_val_loss_max
122,,,,,,,0.87042,0.8665,0.8747,0.87042,0.8665,0.8747
123,,,,,,,0.8695,0.8662,0.8717,0.8695,0.8662,0.8717
124,,,,,,,0.87076,0.8684,0.872,0.87076,0.8684,0.872
125,,,,,,,0.8707,0.8696,0.8729,0.8707,0.8696,0.8729
126,,,,,,,0.87016,0.8666,0.8736,0.87016,0.8666,0.8736
127,,,,,,,0.87204,0.8706,0.8727,0.87204,0.8706,0.8727
128,,,,,,,0.86966,0.8662,0.874,0.86966,0.8662,0.874
129,,,,,,,0.87026,0.8682,0.8741,0.87026,0.8682,0.8741
130,,,,,,,0.87046,0.8685,0.8725,0.87046,0.8685,0.8725
131,,,,,,,0.86918,0.8672,0.8713,0.86918,0.8672,0.8713
132,,,,,,,0.87186,0.8694,0.8766,0.87186,0.8694,0.8766
133,,,,,,,0.86926,0.8677,0.8717,0.86926,0.8677,0.8717
134,,,,,,,0.8693,0.8668,0.8712,0.8693,0.8668,0.8712
135,,,,,,,0.8709,0.8681,0.8733,0.8709,0.8681,0.8733
136,,,,,,,0.86938,0.8653,0.8719,0.86938,0.8653,0.8719
137,,,,,,,0.87182,0.8701,0.8751,0.87182,0.8701,0.8751
138,,,,,,,0.87076,0.8683,0.8738,0.87076,0.8683,0.8738
139,,,,,,,0.86986,0.8681,0.871,0.86986,0.8681,0.871
140,,,,,,,0.87052,0.8673,0.8727,0.87052,0.8673,0.8727
141,,,,,,,0.87102,0.8669,0.8743,0.87102,0.8669,0.8743
142,,,,,,,0.87166,0.869,0.8732,0.87166,0.869,0.8732
143,,,,,,,0.87104,0.8693,0.8727,0.87104,0.8693,0.8727
144,,,,,,,0.8728,0.8709,0.8758,0.8728,0.8709,0.8758
145,,,,,,,0.8709,0.8678,0.8731,0.8709,0.8678,0.8731
146,,,,,,,0.87132,0.868,0.874,0.87132,0.868,0.874
147,,,,,,,0.8729,0.8692,0.8772,0.8729,0.8692,0.8772
148,,,,,,,0.87172,0.867,0.8738,0.87172,0.867,0.8738
149,,,,,,,0.87278,0.8697,0.8747,0.87278,0.8697,0.8747
150,,,,,,,0.8722,0.8672,0.8762,0.8722,0.8672,0.8762
151,,,,,,,,,,0.87228,0.8699,0.8743
152,,,,,,,,,,0.87072,0.8669,0.874
153,,,,,,,,,,0.87252,0.8695,0.8737
154,,,,,,,,,,0.87272,0.8712,0.8749
155,,,,,,,,,,0.87282,0.8696,0.8769
156,,,,,,,,,,0.87416,0.8717,0.8789
157,,,,,,,,,,0.87348,0.8713,0.8758
158,,,,,,,,,,0.8729,0.8705,0.8747
159,,,,,,,,,,0.8722,0.869,0.8743
160,,,,,,,,,,0.87392,0.8718,0.8764
161,,,,,,,,,,0.87238,0.8712,0.8749
162,,,,,,,,,,0.87138,0.8683,0.8737
163,,,,,,,,,,0.87252,0.8692,0.8746
164,,,,,,,,,,0.87192,0.8684,0.8738
165,,,,,,,,,,0.87292,0.8703,0.8749
166,,,,,,,,,,0.87272,0.8711,0.8737
167,,,,,,,,,,0.8737,0.8723,0.875
168,,,,,,,,,,0.87296,0.8691,0.8783
169,,,,,,,,,,0.87348,0.8717,0.8754
170,,,,,,,,,,0.8738,0.8719,0.876
171,,,,,,,,,,0.8729,0.8716,0.8749
172,,,,,,,,,,0.8734,0.8713,0.8752
173,,,,,,,,,,0.87314,0.8703,0.8751
174,,,,,,,,,,0.87336,0.871,0.8749
175,,,,,,,,,,0.87252,0.8687,0.8753
176,,,,,,,,,,0.87422,0.8727,0.8767
177,,,,,,,,,,0.87312,0.8714,0.8741
178,,,,,,,,,,0.87288,0.8688,0.8766
179,,,,,,,,,,0.8741,0.8711,0.8766
180,,,,,,,,,,0.87334,0.871,0.8755
181,,,,,,,,,,0.87356,0.8713,0.8762
182,,,,,,,,,,0.87492,0.8727,0.877
183,,,,,,,,,,0.8746,0.871,0.877
184,,,,,,,,,,0.8747,0.8725,0.8768
185,,,,,,,,,,0.87398,0.8709,0.8765
186,,,,,,,,,,0.87408,0.8719,0.876
187,,,,,,,,,,0.8739,0.871,0.8757
188,,,,,,,,,,0.87416,0.8717,0.8763
189,,,,,,,,,,0.8732,0.8694,0.8765
190,,,,,,,,,,0.87386,0.8712,0.8758
191,,,,,,,,,,0.87436,0.8722,0.8776
192,,,,,,,,,,0.87298,0.8698,0.8756
193,,,,,,,,,,0.8738,0.8723,0.8767
194,,,,,,,,,,0.8732,0.8691,0.8758
195,,,,,,,,,,0.8746,0.8702,0.8774
196,,,,,,,,,,0.87354,0.8718,0.8763
197,,,,,,,,,,0.87318,0.8707,0.8754
198,,,,,,,,,,0.8729,0.8717,0.8743
199,,,,,,,,,,0.87462,0.8737,0.8751
200,,,,,,,,,,0.87392,0.8711,0.8757
