epoch,N50_val_loss,N50_val_loss_min,N50_val_loss_max,N100_val_loss,N100_val_loss_min,N100_val_loss_max,N150_val_loss,N150_val_loss_min,N150_val_loss_max,N200_val_loss,N200_val_loss_min,N200_val_loss_max
177,,,,,,,,,,0.86974,0.8657,0.8722
178,,,,,,,,,,0.86976,0.8643,0.872
179,,,,,,,,,,0.86916,0.8639,0.874
180,,,,,,,,,,0.8694,0.8663,0.8743
181,,,,,,,,,,0.86856,0.8632,0.8735
182,,,,,,,,,,0.86864,0.8626,0.8727
183,,,,,,,,,,0.86814,0.8659,0.8724
184,,,,,,,,,,0.8697,0.8661,0.8745
185,,,,,,,,,,0.86806,0.8614,0.8751
186,,,,,,,,,,0.87008,0.8658,0.8747
187,,,,,,,,,,0.87038,0.8678,0.8746
188,,,,,,,,,,0.8693,0.8641,0.8727
189,,,,,,,,,,0.86884,0.8572,0.8748
190,,,,,,,,,,0.87006,0.8625,0.8755
191,,,,,,,,,,0.87022,0.8663,0.8754
192,,,,,,,,,,0.87084,0.8634,0.876
193,,,,,,,,,,0.87014,0.8688,0.8724
194,,,,,,,,,,0.86982,0.8658,0.8732
195,,,,,,,,,,0.87124,0.8673,0.8777
196,,,,,,,,,,0.86916,0.861,0.8768
197,,,,,,,,,,0.86812,0.8646,0.8724
198,,,,,,,,,,0.87064,0.8651,0.8748
199,,,,,,,,,,0.87112,0.8684,0.8743
200,,,,,,,,,,0.8671,0.8603,0.8718
