epoch,C50_val_loss,C50_val_loss_min,C50_val_loss_max,C100_val_loss,C100_val_loss_min,C100_val_loss_max,C150_val_loss,C150_val_loss_min,C150_val_loss_max,C200_val_loss,C200_val_loss_min,C200_val_loss_max
84,,,,0.87058,0.8682,0.873,0.86554,0.8617,0.8679,0.8604,0.8549,0.865
85,,,,0.87076,0.869,0.8723,0.86606,0.8631,0.8675,0.861,0.855,0.8661
86,,,,0.8705,0.8678,0.8725,0.866,0.8628,0.8697,0.86042,0.8517,0.8684
87,,,,0.87054,0.8687,0.873,0.8681,0.8615,0.872,0.86472,0.8561,0.8708
88,,,,0.87048,0.8671,0.8729,0.8668,0.8634,0.8708,0.85852,0.852,0.8623
89,,,,0.8711,0.8669,0.873,0.8696,0.8673,0.8726,0.86364,0.8591,0.8663
90,,,,0.8719,0.8699,0.8748,0.8671,0.8639,0.8691,0.86458,0.8563,0.8707
91,,,,0.87226,0.8698,0.875,0.86838,0.8642,0.8721,0.86372,0.8595,0.8698
92,,,,0.87168,0.8704,0.8734,0.86874,0.8642,0.8725,0.862,0.8545,0.8669
93,,,,0.87174,0.8698,0.8734,0.86798,0.8651,0.8729,0.86334,0.8552,0.8719
94,,,,0.8715,0.8705,0.8732,0.8677,0.8626,0.8722,0.86364,0.8552,0.8715
95,,,,0.87192,0.8693,0.8743,0.86816,0.8629,0.8725,0.86416,0.8606,0.8709
96,,,,0.87256,0.871,0.8738,0.86886,0.8623,0.8735,0.86536,0.858,0.8721
97,,,,0.8718,0.8678,0.8737,0.87042,0.8656,0.8762,0.86468,0.8539,0.8706
98,,,,0.87242,0.8697,0.8744,0.8682,0.8612,0.872,0.8632,0.8576,0.8663
99,,,,0.87194,0.869,0.8738,0.87024,0.8666,0.8745,0.86762,0.8585,0.8723
100,,,,0.87202,0.8695,0.8737,0.87054,0.8673,0.8728,0.8677,0.8644,0.8734
101,,,,,,,0.86992,0.8639,0.8741,0.86676,0.86,0.8703
102,,,,,,,0.8717,0.8689,0.8746,0.86598,0.8572,0.8702
