epoch,H50_val_loss,H50_val_loss_min,H50_val_loss_max,H100_val_loss,H100_val_loss_min,H100_val_loss_max,H150_val_loss,H150_val_loss_min,H150_val_loss_max,H200_val_loss,H200_val_loss_min,H200_val_loss_max
101,,,,,,,0.8683,0.864,0.8729,0.86556,0.8623,0.867
102,,,,,,,0.86694,0.8632,0.8716,0.8673,0.8627,0.8692
103,,,,,,,0.86566,0.8613,0.8694,0.8668,0.8624,0.8738
104,,,,,,,0.8662,0.8603,0.8711,0.86516,0.8606,0.8686
105,,,,,,,0.86558,0.8579,0.87,0.86682,0.8636,0.8693
106,,,,,,,0.86832,0.8644,0.8727,0.86558,0.8567,0.8714
107,,,,,,,0.86858,0.8649,0.8717,0.86572,0.8624,0.8722
108,,,,,,,0.86596,0.8607,0.8697,0.86738,0.8659,0.8716
109,,,,,,,0.86788,0.8632,0.8718,0.86492,0.8625,0.8666
110,,,,,,,0.86516,0.8611,0.8692,0.86558,0.8601,0.8712
111,,,,,,,0.86848,0.8658,0.8716,0.86678,0.8651,0.8706
112,,,,,,,0.86726,0.8632,0.8697,0.86474,0.8616,0.8672
113,,,,,,,0.86734,0.8619,0.8719,0.86696,0.8653,0.8684
114,,,,,,,0.86924,0.8669,0.8718,0.8677,0.8639,0.87
115,,,,,,,0.86432,0.8596,0.8677,0.86508,0.8551,0.87
116,,,,,,,0.86626,0.8632,0.8684,0.86454,0.8614,0.8691
117,,,,,,,0.8695,0.8661,0.8731,0.86694,0.8658,0.8687
118,,,,,,,0.86732,0.8623,0.8722,0.86786,0.8638,0.874
119,,,,,,,0.8671,0.8654,0.8687,0.86884,0.865,0.875
120,,,,,,,0.86682,0.8599,0.8707,0.86762,0.8644,0.8712
121,,,,,,,0.87022,0.8667,0.8738,0.86898,0.8648,0.8742
122,,,,,,,0.86704,0.8636,0.8687,0.86568,0.8617,0.8685
123,,,,,,,0.87144,0.8684,0.8755,0.86734,0.8635,0.8722
124,,,,,,,0.87054,0.8672,0.8759,0.87004,0.8682,0.8738
125,,,,,,,0.86972,0.8679,0.8725,0.86854,0.8642,0.8717
126,,,,,,,0.86922,0.867,0.8714,0.8683,0.8636,0.8737
127,,,,,,,0.86982,0.8658,0.8745,0.869,0.8663,0.8743
128,,,,,,,0.87008,0.8682,0.8739,0.869,0.8681,0.8716
129,,,,,,,0.86892,0.865,0.8724,0.86544,0.8599,0.8712
130,,,,,,,0.86988,0.8647,0.8727,0.86948,0.8632,0.8746
131,,,,,,,0.8701,0.8651,0.8762,0.86878,0.863,0.8728
132,,,,,,,0.86976,0.8662,0.8743,0.87022,0.866,0.8738
133,,,,,,,0.87018,0.8663,0.8722,0.87094,0.8652,0.8745
