epoch,P50_val_loss,P50_val_loss_min,P50_val_loss_max,P100_val_loss,P100_val_loss_min,P100_val_loss_max,P150_val_loss,P150_val_loss_min,P150_val_loss_max,P200_val_loss,P200_val_loss_min,P200_val_loss_max
103,,,,,,,0.86948,0.8661,0.8761,0.86766,0.8634,0.872
104,,,,,,,0.86896,0.8633,0.8758,0.86666,0.8594,0.8724
105,,,,,,,0.86866,0.8644,0.8715,0.86806,0.8588,0.8727
106,,,,,,,0.87058,0.8667,0.8743,0.86932,0.8649,0.8727
107,,,,,,,0.8711,0.8667,0.8736,0.8668,0.863,0.8731
108,,,,,,,0.868,0.8647,0.8708,0.8672,0.8637,0.8719
109,,,,,,,0.86942,0.8649,0.8727,0.86858,0.8619,0.8739
110,,,,,,,0.8688,0.8632,0.8716,0.86752,0.8654,0.8699
111,,,,,,,0.86906,0.8655,0.8716,0.86892,0.8637,0.8715
112,,,,,,,0.87018,0.8674,0.8737,0.8693,0.865,0.8721
113,,,,,,,0.8685,0.863,0.8743,0.8683,0.8646,0.8743
114,,,,,,,0.86988,0.8672,0.8718,0.86904,0.8662,0.8718
115,,,,,,,0.87024,0.869,0.8709,0.8684,0.8634,0.8711
116,,,,,,,0.86934,0.8668,0.8709,0.8706,0.8659,0.8748
117,,,,,,,0.87126,0.8679,0.876,0.8694,0.8665,0.8717
118,,,,,,,0.87022,0.8668,0.8726,0.8698,0.8634,0.8745
119,,,,,,,0.87154,0.865,0.8745,0.86966,0.8671,0.8725
120,,,,,,,0.87166,0.8667,0.8746,0.86886,0.8646,0.8735
121,,,,,,,0.872,0.868,0.8754,0.8697,0.8667,0.8714
122,,,,,,,0.87108,0.8676,0.8739,0.86786,0.8609,0.8705
123,,,,,,,0.87186,0.8664,0.8764,0.86822,0.864,0.8706
124,,,,,,,0.87168,0.868,0.8758,0.86854,0.8663,0.872
125,,,,,,,0.87238,0.8697,0.8763,0.87154,0.8669,0.8756
126,,,,,,,0.8726,0.8687,0.8753,0.87106,0.8635,0.876
127,,,,,,,0.87348,0.8674,0.8758,0.86992,0.8665,0.873
128,,,,,,,0.87342,0.8699,0.8759,0.86956,0.8682,0.8719
129,,,,,,,0.87298,0.8698,0.8743,0.87054,0.8659,0.8746
130,,,,,,,0.8742,0.8726,0.876,0.87186,0.866,0.8766
131,,,,,,,0.87392,0.8707,0.876,0.8707,0.8665,0.8737
132,,,,,,,0.87426,0.8719,0.8757,0.87198,0.8679,0.8738
133,,,,,,,0.87348,0.8715,0.8754,0.8727,0.8684,0.8766
134,,,,,,,0.87438,0.8709,0.8772,0.87158,0.8664,0.8763
135,,,,,,,0.87412,0.8714,0.8776,0.871,0.8665,0.8744
136,,,,,,,0.87308,0.8686,0.8781,0.87258,0.8693,0.8745
137,,,,,,,0.87484,0.8728,0.8767,0.87056,0.868,0.8752
138,,,,,,,0.87462,0.8732,0.8767,0.86976,0.868,0.873
139,,,,,,,0.87484,0.8718,0.8777,0.8705,0.864,0.875
140,,,,,,,0.87434,0.8718,0.8771,0.87192,0.8682,0.874
141,,,,,,,0.8761,0.8726,0.8781,0.87248,0.8689,0.8766
142,,,,,,,0.87486,0.8708,0.8779,0.87232,0.8662,0.8759
143,,,,,,,0.87554,0.8736,0.8765,0.87168,0.8704,0.8734
144,,,,,,,0.87522,0.8717,0.8775,0.87292,0.8706,0.8764
145,,,,,,,0.87568,0.8732,0.8787,0.87214,0.8702,0.8745
146,,,,,,,0.87636,0.8746,0.8783,0.8733,0.8701,0.8745
147,,,,,,,0.87574,0.8733,0.8786,0.8714,0.8687,0.8769
148,,,,,,,0.87654,0.8744,0.8791,0.87358,0.8708,0.8773
149,,,,,,,0.87644,0.8742,0.8786,0.87208,0.8683,0.8748
150,,,,,,,0.87666,0.8739,0.8794,0.87388,0.871,0.8759
151,,,,,,,,,,0.87336,0.87,0.8771
152,,,,,,,,,,0.87174,0.8674,0.8743
153,,,,,,,,,,0.87396,0.8703,0.8761
154,,,,,,,,,,0.87394,0.8711,0.8769
155,,,,,,,,,,0.87436,0.8717,0.8758
156,,,,,,,,,,0.87284,0.8696,0.8753
157,,,,,,,,,,0.87358,0.8719,0.8754
158,,,,,,,,,,0.8713,0.8693,0.8747
159,,,,,,,,,,0.87496,0.8712,0.8772
160,,,,,,,,,,0.87304,0.8709,0.8749
161,,,,,,,,,,0.87508,0.8727,0.8787
162,,,,,,,,,,0.87364,0.8709,0.8747
163,,,,,,,,,,0.87568,0.8742,0.8772
164,,,,,,,,,,0.8752,0.8726,0.8792
165,,,,,,,,,,0.87446,0.8715,0.8777
166,,,,,,,,,,0.87508,0.8732,0.876
167,,,,,,,,,,0.8756,0.8743,0.8773
168,,,,,,,,,,0.87608,0.8727,0.8789
169,,,,,,,,,,0.8759,0.8715,0.8783
170,,,,,,,,,,0.87656,0.8743,0.8795
171,,,,,,,,,,0.87584,0.8728,0.8783
172,,,,,,,,,,0.8757,0.8734,0.8782
173,,,,,,,,,,0.87618,0.8684,0.879
174,,,,,,,,,,0.87518,0.871,0.8789
175,,,,,,,,,,0.87632,0.8734,0.8792
176,,,,,,,,,,0.87582,0.8734,0.8775
177,,,,,,,,,,0.87584,0.8724,0.8773
178,,,,,,,,,,0.87664,0.8739,0.8803
