epoch,EH50_val_loss,EH50_val_loss_min,EH50_val_loss_max,EH100_val_loss,EH100_val_loss_min,EH100_val_loss_max,EH150_val_loss,EH150_val_loss_min,EH150_val_loss_max,EH200_val_loss,EH200_val_loss_min,EH200_val_loss_max
116,,,,,,,0.86944,0.8641,0.8726,0.87064,0.8644,0.8757
117,,,,,,,0.87088,0.867,0.8739,0.86902,0.8639,0.8746
118,,,,,,,0.87076,0.864,0.8742,0.86852,0.8655,0.8734
119,,,,,,,0.8715,0.8677,0.8778,0.8703,0.8678,0.875
120,,,,,,,0.87232,0.8694,0.8753,0.86986,0.8646,0.8749
121,,,,,,,0.87244,0.8677,0.8755,0.86976,0.8619,0.876
122,,,,,,,0.8712,0.8649,0.8759,0.86982,0.8628,0.8751
123,,,,,,,0.8707,0.8687,0.8749,0.87112,0.8663,0.8787
124,,,,,,,0.8701,0.8677,0.8732,0.8707,0.866,0.8761
125,,,,,,,0.86988,0.8665,0.8771,0.87194,0.8692,0.875
126,,,,,,,0.87178,0.8671,0.8784,0.86972,0.8667,0.8731
127,,,,,,,0.87194,0.8667,0.8773,0.87032,0.8679,0.874
128,,,,,,,0.87202,0.8673,0.8752,0.86944,0.8645,0.877
129,,,,,,,0.87356,0.8709,0.8747,0.87096,0.8679,0.8744
130,,,,,,,0.87284,0.8703,0.8764,0.87194,0.8682,0.8768
131,,,,,,,0.87144,0.8678,0.8756,0.87042,0.8653,0.876
132,,,,,,,0.87178,0.8692,0.8773,0.87238,0.8694,0.8768
133,,,,,,,0.87212,0.8677,0.8753,0.87014,0.8658,0.8753
134,,,,,,,0.87268,0.8686,0.8784,0.87076,0.8658,0.8765
135,,,,,,,0.87226,0.8684,0.8777,0.8696,0.8666,0.8745
136,,,,,,,0.87218,0.869,0.8762,0.87212,0.8672,0.8779
137,,,,,,,0.87318,0.8712,0.878,0.87196,0.8679,0.8779
138,,,,,,,0.87258,0.8693,0.8764,0.87244,0.8689,0.8794
139,,,,,,,0.87214,0.8676,0.8756,0.8708,0.8608,0.8763
140,,,,,,,0.87238,0.8707,0.8738,0.8709,0.8633,0.8768
141,,,,,,,0.87232,0.8706,0.8749,0.87178,0.8676,0.8769
142,,,,,,,0.87238,0.8683,0.8748,0.87164,0.8668,0.8792
143,,,,,,,0.87376,0.8681,0.8788,0.8717,0.868,0.8768
144,,,,,,,0.87226,0.8702,0.8765,0.87178,0.8687,0.8778
145,,,,,,,0.87326,0.8699,0.8777,0.87124,0.8681,0.8769
146,,,,,,,0.8737,0.8686,0.8789,0.87206,0.8693,0.8764
147,,,,,,,0.87314,0.8698,0.8759,0.87178,0.8679,0.8763
148,,,,,,,0.87328,0.8698,0.8765,0.87302,0.8662,0.8795
149,,,,,,,0.87316,0.8692,0.8778,0.87062,0.8647,0.8778
150,,,,,,,0.87364,0.8701,0.8767,0.8722,0.866,0.8775
151,,,,,,,,,,0.8718,0.8674,0.8789
152,,,,,,,,,,0.87236,0.8688,0.8761
153,,,,,,,,,,0.87276,0.8684,0.8774
154,,,,,,,,,,0.87234,0.8678,0.877
155,,,,,,,,,,0.87186,0.8686,0.8745
156,,,,,,,,,,0.87302,0.8677,0.8774
157,,,,,,,,,,0.87238,0.8679,0.8783
158,,,,,,,,,,0.87224,0.8682,0.8795
159,,,,,,,,,,0.87366,0.869,0.8788
160,,,,,,,,,,0.87282,0.8684,0.8758
161,,,,,,,,,,0.87312,0.87,0.8789
162,,,,,,,,,,0.87388,0.8675,0.8784
163,,,,,,,,,,0.87248,0.8702,0.8761
164,,,,,,,,,,0.87326,0.8692,0.8779
165,,,,,,,,,,0.87304,0.8689,0.877
166,,,,,,,,,,0.8741,0.8714,0.8792
167,,,,,,,,,,0.8722,0.8685,0.8767
168,,,,,,,,,,0.87278,0.8669,0.8769
169,,,,,,,,,,0.87342,0.8681,0.8782
170,,,,,,,,,,0.8734,0.8655,0.8799
171,,,,,,,,,,0.87326,0.8684,0.8795
172,,,,,,,,,,0.87364,0.8702,0.8798
173,,,,,,,,,,0.8742,0.8684,0.8778
174,,,,,,,,,,0.87378,0.8706,0.8777
175,,,,,,,,,,0.87416,0.8687,0.8799
176,,,,,,,,,,0.87438,0.8718,0.8787
177,,,,,,,,,,0.87368,0.8702,0.8778
178,,,,,,,,,,0.87414,0.8713,0.8786
179,,,,,,,,,,0.8734,0.8718,0.877
180,,,,,,,,,,0.87276,0.8679,0.8786
181,,,,,,,,,,0.87502,0.8718,0.8812
182,,,,,,,,,,0.87466,0.8727,0.8761
183,,,,,,,,,,0.87484,0.8707,0.8817
184,,,,,,,,,,0.87576,0.8708,0.8801
185,,,,,,,,,,0.87362,0.867,0.8799
186,,,,,,,,,,0.8748,0.8721,0.8787
187,,,,,,,,,,0.87506,0.8716,0.8808
188,,,,,,,,,,0.87548,0.8713,0.8808
189,,,,,,,,,,0.87472,0.8704,0.8799
190,,,,,,,,,,0.87416,0.8714,0.878
191,,,,,,,,,,0.87574,0.8711,0.8815
192,,,,,,,,,,0.87592,0.8731,0.8801
193,,,,,,,,,,0.8742,0.8705,0.8788
194,,,,,,,,,,0.8764,0.8714,0.8806
195,,,,,,,,,,0.87526,0.8711,0.8807
196,,,,,,,,,,0.87622,0.8718,0.8822
197,,,,,,,,,,0.87542,0.8719,0.8799
198,,,,,,,,,,0.8759,0.8734,0.8809
199,,,,,,,,,,0.87464,0.8706,0.8809
200,,,,,,,,,,0.87658,0.8739,0.8802
